player,salary,position,team,team_past_record
"Olivares, Edward",740750,OF,Kansas City,0.401
"Coleman, Dylan",731750,RHP,Kansas City,0.401
"Hernandez, Carlos",730250,RHP,Kansas City,0.401
"Lynch, Daniel*",730250,LHP,Kansas City,0.401
"Isbel, Kyle",727500,OF,Kansas City,0.401
"Melendez, MJ",726500,C,Kansas City,0.401
"Cuas, Jose",726000,RHP,Kansas City,0.401
"Pasquantino, Vinnie",725500,1B,Kansas City,0.401
"Massey, Michael",722850,2B,Kansas City,0.401
"Waters, Drew*",722400,OF,Kansas City,0.401
"Eaton, Nathan",722200,OF,Kansas City,0.401
"Zerpa, Angel*",721400,LHP,Kansas City,0.401
"Hernandez, Diego*",720000,OF,Kansas City,0.401
"Rendon, Anthony",38571429,3B,L.A. Angels,0.451
"Trout, Mike",37116667,OF,L.A. Angels,0.451
"Ohtani, Shohei",30000000,DH,L.A. Angels,0.451
"Anderson, Tyler",13000000,LHP,L.A. Angels,0.451
"Renfroe, Hunter",11900000,OF,L.A. Angels,0.451
"Drury, Brandon",8500000,3B,L.A. Angels,0.451
"Urshela, Gio",8400000,3B,L.A. Angels,0.451
"Moore, Matthew",7550000,LHP,L.A. Angels,0.451
"Loup, Aaron",7500000,LHP,L.A. Angels,0.451
"Stassi, Max*",7000000,C,L.A. Angels,0.451
"Tepera, Ryan",7000000,RHP,L.A. Angels,0.451
"Estevez, Carlos",6750000,RHP,L.A. Angels,0.451
"Fletcher, David",6000000,3B,L.A. Angels,0.451
"Sandoval, Patrick",2750000,LHP,L.A. Angels,0.451
"Ward, Taylor",2750000,OF,L.A. Angels,0.451
"Walsh, Jared*",2650000,1B,L.A. Angels,0.451
"Rengifo, Luis",2300000,2B,L.A. Angels,0.451
"Lamb, Jake",1250000,OF,L.A. Angels,0.451
"Phillips, Brett",1200000,OF,L.A. Angels,0.451
"Barria, Jaime",1050000,RHP,L.A. Angels,0.451
"Canning, Griffin*",850000,RHP,L.A. Angels,0.451
"Herget, Jimmy",750000,RHP,L.A. Angels,0.451
"Quijada, Jose",750000,LHP,L.A. Angels,0.451
"Suarez, Jose",750000,LHP,L.A. Angels,0.451
"Davidson, Tucker",740000,LHP,L.A. Angels,0.451
"Detmers, Reid",740000,LHP,L.A. Angels,0.451
"Rodriguez, Christopher*",740000,RHP,L.A. Angels,0.451
"Thaiss, Matt",740000,3B,L.A. Angels,0.451
"Wantz, Andrew",740000,RHP,L.A. Angels,0.451
"Daniel, Davis*",730000,RHP,L.A. Angels,0.451
"Marte, Jose*",730000,RHP,L.A. Angels,0.451
"O'Hoppe, Logan",730000,C,L.A. Angels,0.451
"Freeman, Freddie",25290674,1B,L.A. Dodgers,0.685
"Heyward, Jason",22000000,OF,L.A. Dodgers,0.685
"Betts, Mookie",21158692,OF,L.A. Dodgers,0.685
"Kershaw, Clayton",20000000,LHP,L.A. Dodgers,0.685
"Taylor, Chris",15000000,OF,L.A. Dodgers,0.685
"Urias, Julio",14250000,LHP,L.A. Dodgers,0.685
"Muncy, Max",13500000,3B,L.A. Dodgers,0.685
"Syndergaard, Noah",13000000,RHP,L.A. Dodgers,0.685
"Martinez, JD",10000000,DH,L.A. Dodgers,0.685
"Buehler, Walker*",8025000,RHP,L.A. Dodgers,0.685
"Treinen, Blake*",8000000,RHP,L.A. Dodgers,0.685
"Hudson, Daniel*",6500000,RHP,L.A. Dodgers,0.685
"Peralta, David",6500000,OF,L.A. Dodgers,0.685
"Smith, Will",5250000,C,L.A. Dodgers,0.685
"Rojas, Miguel",4250000,SS,L.A. Dodgers,0.685
"Barnes, Austin",3500000,C,L.A. Dodgers,0.685
"Gonsolin, Anthony*",3250000,RHP,L.A. Dodgers,0.685
"May, Dustin",1675000,RHP,L.A. Dodgers,0.685
"Almonte, Yency",1500000,RHP,L.A. Dodgers,0.685
"Miller, Shelby",1500000,RHP,L.A. Dodgers,0.685
"Thompson, Trayce",1450000,OF,L.A. Dodgers,0.685
"Phillips, Evan",1300000,RHP,L.A. Dodgers,0.685
"Graterol, Brusdar",1225000,RHP,L.A. Dodgers,0.685
"Nelson, Jimmy*",1200000,RHP,L.A. Dodgers,0.685
"Ferguson, Caleb",1100000,LHP,L.A. Dodgers,0.685
"Reyes, Alex*",1100000,RHP,L.A. Dodgers,0.685
"Feyereisen, J.P.*",750000,RHP,L.A. Dodgers,0.685
"Lux, Gavin*",750000,SS,L.A. Dodgers,0.685
"Vesia, Alex",750000,LHP,L.A. Dodgers,0.685
"Bickford, Phil",740000,RHP,L.A. Dodgers,0.685
"Grove, Michael",722500,RHP,L.A. Dodgers,0.685
"Jackson, Andre",722500,RHP,L.A. Dodgers,0.685
"Outman, James",722500,OF,L.A. Dodgers,0.685
"Pepiot, Ryan*",722500,RHP,L.A. Dodgers,0.685
"Vargas, Miguel",722500,3B,L.A. Dodgers,0.685
"Soler, Jorge",15000000,DH,Miami,0.426
"Garcia, Avisail",12000000,OF,Miami,0.426
"Barnes, Matt",7500000,RHP,Miami,0.426
"Segura, Jean",6500000,2B,Miami,0.426
"Alcantara, Sandy",6300000,RHP,Miami,0.426
"Arraez, Luis",6100000,1B,Miami,0.426
"Cueto, Johnny",6000000,RHP,Miami,0.426
"Wendle, Joey",6000000,2B,Miami,0.426
"Cooper, Garrett",4200000,1B,Miami,0.426
"Floro, Dylan",3900000,RHP,Miami,0.426
"Stallings, Jacob",3350000,C,Miami,0.426
"Scott, Tanner",2825000,LHP,Miami,0.426
"Luzardo, Jesus",2450000,LHP,Miami,0.426
"Berti, Jonathon",2100000,SS,Miami,0.426
"Gurriel, Yuri",1250000,1B,Miami,0.426
"Chargois, J.T.",850000,RHP,Miami,0.426
"Rogers, Trevor",752000,LHP,Miami,0.426
"Chisholm, Jazz",749500,OF,Miami,0.426
"Okert, Steven*",739000,LHP,Miami,0.426
"Bender, Anthony*",738500,RHP,Miami,0.426
"Sanchez, Jesus",738000,OF,Miami,0.426
"De La Cruz, Bryan",736000,OF,Miami,0.426
"Puk, A.J.",736000,LHP,Miami,0.426
"Garrett, Braxton",732000,LHP,Miami,0.426
"Cabrera, Edward",731000,RHP,Miami,0.426
"Fortes, Nick",730000,C,Miami,0.426
"Nance, Tommy*",729500,RHP,Miami,0.426
"Brazoban, Huascar",724000,RHP,Miami,0.426
"Nardi, Andrew",723000,LHP,Miami,0.426
"Meyer, Max*",721500,RHP,Miami,0.426
"Enright, Nic*",720000,RHP,Miami,0.426
"Yelich, Christian",24250727,OF,Milwaukee,0.531
"Woodruff, Brandon",10800000,RHP,Milwaukee,0.531
"Burnes, Corbin",10010000,RHP,Milwaukee,0.531
"Adames, Willy",8700000,SS,Milwaukee,0.531
"Winker, Jesse",8250000,OF,Milwaukee,0.531
"Lauer, Eric",5075000,LHP,Milwaukee,0.531
"Tellez, Rowdy",4950000,1B,Milwaukee,0.531
"Urias, Luis",4700000,2B,Milwaukee,0.531
"Peralta, Freddy",3734960,RHP,Milwaukee,0.531
"Houser, Adrian*",3600000,RHP,Milwaukee,0.531
"Miley, Wade",3500000,LHP,Milwaukee,0.531
"Anderson, Brian",3500000,3B,Milwaukee,0.531
"Williams, Devin",3350000,RHP,Milwaukee,0.531
"Caratini, Victor",2800000,C,Milwaukee,0.531
"Voit, Luke",2000000,1B,Milwaukee,0.531
"Bush, Matt",1850000,RHP,Milwaukee,0.531
"Brosseau, Michael",1400000,SS,Milwaukee,0.531
"Ashby, Aaron*",1200000,LHP,Milwaukee,0.531
"Milner, Hoby",1025000,LHP,Milwaukee,0.531
"Wilson, Justin*",850000,LHP,Milwaukee,0.531
"Contreras, William",739000,C,Milwaukee,0.531
"Taylor, Tyrone*",735400,OF,Milwaukee,0.531
